编号,学校,题目,作者,年份,学位与方向,主题,与星迹智绘相关度,材料等级,来源性质,来源链接,交叉核对来源,本地材料,全文状态,研究框架（摘要归纳）,论文框架（公开目录）,核实限制
TJ13,同济大学,基于体验的4DVR交互媒体设计研究,郭钦,2021（页面年份）,交互媒体方向；艺术硕士,体验驱动／系统实现,中,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_guoqin_2021/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_guoqin_2021.txt,未取得全文PDF,文献与产品研究 → 体验设计原则 → 系统设计与技术实现 → 用户体验实验。,第1章 引言 → 第2章 文献综述 → 第3章 《4DVR J15舰载机模拟训练系统》设计 → 第4章 二自由度运动平台运动控制 → 第5章 视觉内容开发流程及优化 → 第6章 程序化建模及着色器编程 → 第7章 用户体验研究实验 → 第8章 结论与展望,技术章节比例较高，不宜整套照搬为设计学论文的通用结构。
TJ14,同济大学,跨VR多设备应用的用户体验一致性研究——以VR严肃游戏《镜头语言虚拟实验》为例,谢天,2022（页面年份）,交互设计方向；工程硕士（导师主页标注）,跨设备／体验一致性,高,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_xietian_2022/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_xietian_2022.txt,未取得全文PDF,相关研究 → 分层的一致性设计框架 → VR、PC与移动端原型 → 用户验证与评价。,第1章 引言 → 第2章 文献综述 → 第3章 一致性设计框架与方法 → 第4章 一致性设计实践 → 第5章 设计验证与评价 → 第6章 总结与展望,多设备一致性是独立议题，不必为扩大项目范围额外加入你的论文。
TJ15,同济大学,基于情感化理论的定格动画网站设计,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,网站／情感化,高,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ16,同济大学,基于虚拟现实技术的娱乐体验设计——以VR游戏《鲸屿》创作为例,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,VR体验,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ17,同济大学,基于敏捷交互设计的用户体验方法研究与实践,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,设计方法,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ18,同济大学,以自由意志为主题的综合材料艺术创作研究——风筝互动装置作品,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,互动装置,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ19,同济大学,基于开放式橱窗的多模式交互系统设计,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,多模态交互,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ20,同济大学,回归“单纯”—绘画艺术与互动装置创作实践研究,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,绘画／互动艺术,高,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ21,同济大学,基于交互心理体验的情绪可视化设计,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,情绪／可视化,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ22,同济大学,焦虑——基于VR技术的沉浸式体验装置,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,VR装置,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ23,同济大学,交互设计在线学习平台网站设计,肖静如,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,教育网站,高,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,https://am.tongji.edu.cn/info/1123/2164.htm,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ24,同济大学,基于城市道路场景的车载HUD与中控屏交互设计研究,熊冀嘉,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,HMI,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,https://am.tongji.edu.cn/info/1123/2164.htm,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ25,同济大学,以个性化需求为导向的艺术品线上交易网站的界面设计研究,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,网站界面,高,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ26,同济大学,基于中国老龄化社会的社区服务体系的交互设计实践,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,服务交互,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ27,同济大学,基于上海南站大型商业空间文化塑造的交互创作实践,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,空间交互,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ28,同济大学,基于增强现实的健身交互软件设计概念,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,AR应用,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ29,同济大学,大数据时代下的公民隐私危机——交互艺术创作实践,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,交互艺术,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ30,同济大学,互动纪录片中交互性的探索,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,交互叙事,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ31,同济大学,“过程即存在”—综合材料绘画与交互展示创作实践,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,绘画／交互展示,高,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ32,同济大学,上海地铁站空间的广告交互设计研究,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,公共交互,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ33,同济大学,基于移动互联网的汽车后市场服务设计研究,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,移动服务,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ34,同济大学,自媒体商业模式及服务设计研究,潘雨沛,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,服务设计,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,https://am.tongji.edu.cn/info/1123/2164.htm,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ35,同济大学,基于LEAP MOTION运动感知的设计教育卡片系统的交互设计,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,教育／手势,高,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ36,同济大学,基于多人协作的触屏桌面教育系统交互设计,张洁琼,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,教育／触屏,高,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,https://am.tongji.edu.cn/info/1123/2164.htm,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ37,同济大学,基于手机与公共屏幕的多人交互儿童动画,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,移动端／儿童交互,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ38,同济大学,基于平板与公共屏幕的交互三维儿童动画,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,平板交互,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ39,同济大学,实时影像与虚拟角色的交互体验——展示用增强现实趣味互动设计,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,AR交互,中,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ40,同济大学,基于平板与触屏的交互儿童动画,待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,儿童／触屏,高,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ41,同济大学,"""宁静致远“— 虚拟交互技术与传统水墨",待核实,待核实,官方MFA专业硕士作品与论文名单；正式题名待封面核对,绘画／虚拟交互,高,C1 官方题名名单,同济大学官方实验室网站,https://amlab.tongji.edu.cn/info/1531/1582.htm,,来源存档/同济_MFA作品与论文名单.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,名单混合“作品与论文”，不能据此断言题名与最终学位论文封面完全一致。
TJ42,同济大学,基于敏捷设计思维的交互设计工具研究与制作,朱奕达,待核实,官方已结题研究生毕业论文；具体学位待核实,交互设计／用户研究,高,C1 官方题名名单,同济大学艺术与传媒学院官网,https://am.tongji.edu.cn/info/1123/2164.htm,,来源存档/同济_用户研究实验室.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,不能把入学级别年份当作毕业年份；不从题目推定实验结果。
TJ43,同济大学,面向用户测试数据的可视化分析系统研究与设计,钱露露,待核实,官方已结题研究生毕业论文；具体学位待核实,交互设计／用户研究,高,C1 官方题名名单,同济大学艺术与传媒学院官网,https://am.tongji.edu.cn/info/1123/2164.htm,,来源存档/同济_用户研究实验室.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,不能把入学级别年份当作毕业年份；不从题目推定实验结果。
TJ44,同济大学,基于车内交互场景的用户参与式手势设计,谭雨欣,待核实,官方已结题研究生毕业论文；具体学位待核实,交互设计／用户研究,中,C1 官方题名名单,同济大学艺术与传媒学院官网,https://am.tongji.edu.cn/info/1123/2164.htm,,来源存档/同济_用户研究实验室.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,不能把入学级别年份当作毕业年份；不从题目推定实验结果。
TJ45,同济大学,基于红绿灯路口场景下的汽车安全驾驶行为研究-以HUD上的交互设计为例,王亚娜,待核实,官方已结题研究生毕业论文；具体学位待核实,交互设计／用户研究,中,C1 官方题名名单,同济大学艺术与传媒学院官网,https://am.tongji.edu.cn/info/1123/2164.htm,,来源存档/同济_用户研究实验室.txt,未取得全文PDF,未知：题名不能证明具体研究方法,未知：未取得目录,不能把入学级别年份当作毕业年份；不从题目推定实验结果。
SJ01,上海交通大学,触摸屏界面通用设计原则研究,刘思文,2009,设计艺术学；硕士（公开片段封面）,触屏／可用性,最高,B2 第三方摘要与论文片段,第三方片段／镜像,https://www.doczj.com/doc/0419716668.html,,,未取得全文PDF,触屏及界面概念 → 可用性、人因和用户研究 → 案例与设计原则 → 工业触屏项目 → 用户评价与迭代。,摘要按章介绍：背景与方法 → 技术及概念 → 理论基础 → 通用原则 → 项目设计与评价。未取得完整目录。,页面是资料汇编而非校方全文库；年份、专业来自所展示片段，正式引用仍需核对原件。
SJ02,上海交通大学,基于决策实验室法的轿车内饰用户体验研究,高奎,2022,工业设计工程；硕士（镜像题录）,用户体验／需求分析,高,B2 镜像题录与摘要,第三方片段／镜像,https://cnki.istiz.org.cn/kcms/detail/detail.aspx?dbcode=CMFD&dbname=CMFD2025&filename=1024327548.nh,,,未取得全文PDF,文献与用户、设计师研究 → 初始体验因素 → 问卷及因子分析 → DEMATEL分析因素关系 → 设计策略与方案验证。,未知：未取得目录。上述为摘要归纳的研究顺序，不能当作真实章节。,来源为非CNKI官方域名镜像；摘要中的方法线索可用于检索，元数据及结果需校方／数据库核验。
SJ03,上海交通大学,基于用户体验的汽车智能中控HMI设计研究,陈晓华,2020,硕士（公开期刊参考文献标注）；专业待核实,HMI／用户体验,高,C2 文献引用线索,公开学术文章的参考文献,https://pdf.hanspub.org/design20230400000_45202787.pdf,,,未取得全文PDF,未知：仅取得被引题录,未知：未取得目录,DOI线索：10.27307/d.cnki.gsjtu.2020.001538。链接为引用该论文的期刊文章，不是学位论文PDF。
SJ04,上海交通大学,电子支付网站用户帮助平台的用户体验研究与设计,章诗琦,2013,硕士（公开参考文献标注）；专业待核实,网站／用户帮助,高,C2 文献引用线索,公开学术文章的参考文献,https://pdf.hanspub.org/fin2024144_321141094.pdf,,,未取得全文PDF,未知：仅取得被引题录,未知：未取得目录,链接为引用该论文的期刊文章，不是学位论文PDF。
